lat,lon,Fatalities
1.1132,44.0297,3
1.1354,43.743,0
1.1476,44.0039,0
1.1476,44.0039,0
1.1476,44.0039,0
1.1476,44.0039,0
1.1624,43.9925,10
1.2448,42.5732,0
1.2448,42.5732,0
1.2448,42.5732,1
1.2448,42.5732,0
1.2448,42.5732,1
1.2448,42.5732,0
1.2448,42.5732,0
1.2448,42.5732,0
1.389,42.471,11
1.4158,42.4538,53
1.4481,44.3278,0
1.4518,42.9518,2
1.4518,42.9518,0
1.4952,44.4709,2
1.5074,42.5079,0
1.5702,44.4488,0
1.6104,44.3329,0
1.6104,44.3329,1
1.6104,44.3329,2
1.6104,44.3329,1
1.6221,44.6364,2
1.6221,44.6364,0
1.6221,44.6364,10
1.6283,44.4053,1
1.6285,44.6091,0
1.6298,44.5196,0
1.6298,44.5196,4
1.6298,44.5196,0
1.6298,44.5196,10
1.6298,44.5196,1
1.6298,44.5196,12
1.6298,44.5196,1
1.6298,44.5196,1
1.6298,44.5196,0
1.6298,44.5196,4
1.6298,44.5196,0
1.6298,44.5196,4
1.6298,44.5196,3
1.6298,44.5196,2
1.6298,44.5196,3
1.6394,42.4522,3
1.6394,42.4522,0
1.6394,42.4522,30
1.6394,42.4522,7
1.6445,44.6241,7
1.6584,44.58,0
1.6584,44.58,10
1.6584,44.58,2
1.6584,44.58,1
1.6584,44.58,2
1.6584,44.58,10
1.6584,44.58,6
1.6584,44.58,1
1.6584,44.58,0
1.6584,44.58,0
1.6584,44.58,0
1.6584,44.58,6
1.6584,44.58,0
1.6584,44.58,1
1.6713,44.6588,7
1.6804,44.7227,0
1.6804,44.7227,0
1.6804,44.7227,1
1.6833,44.7166,0
1.6833,44.7166,0
1.6833,44.7166,0
1.6833,44.7166,0
1.6833,44.7166,1
1.6833,44.7166,2
1.6894,42.9653,0
1.7063,44.6081,0
1.7087,44.6961,0
1.7087,44.6961,0
